station_id,station_name,borough_name,borough_code,borough_hectares
940GZZLUACT,Acton Town,Ealing,00AJ,5552.7806617
940GZZLUALD,Aldgate,City of London,00AA,315.28129049
940GZZLUADE,Aldgate East,Tower Hamlets,00BG,2156.63302308
940GZZLUALP,Alperton,Brent,00AE,4323.53779272
940GZZLUAMS,Amersham,,,
940GZZLUAGL,Angel,Islington,00AU,1485.98163004
940GZZLUACY,Archway,Islington,00AU,1485.98163004
940GZZLUASG,Arnos Grove,Enfield,00AK,8220.0645035
940GZZLUASL,Arsenal,Islington,00AU,1485.98163004
940GZZLUBST,Baker Street,Westminster,00BK,2202.8684871
940GZZLUBLM,Balham,Wandsworth,00BJ,3522.00323363
940GZZLUBNK,Bank,City of London,00AA,315.28129049
940GZZLUBBN,Barbican,City of London,00AA,315.28129049
940GZZLUBKG,Barking,Barking & Dagenham,00AB,3777.89681285
940GZZLUBKE,Barkingside,Redbridge,00BC,5645.00826392
940GZZLUBSC,Barons Court,Hammersmith & Fulham,00AN,1716.10641086
940GZZBPSUST,Battersea Power Station,Wandsworth,00BJ,3522.00323363
940GZZLUBWT,Bayswater,Westminster,00BK,2202.8684871
940GZZLUBEC,Becontree,Barking & Dagenham,00AB,3777.89681285
940GZZLUBZP,Belsize Park,Camden,00AG,2179.59815943
940GZZLUBMY,Bermondsey,Southwark,00BE,2989.72061282
940GZZLUBLG,Bethnal Green,Tower Hamlets,00BG,2156.63302308
940GZZLUBKF,Blackfriars,City of London,00AA,315.28129049
940GZZLUBLR,Blackhorse Road,Waltham Forest,00BH,3881.50828556
940GZZLUBND,Bond Street,Westminster,00BK,2202.8684871
940GZZLUBOR,Borough,Southwark,00BE,2989.72061282
940GZZLUBOS,Boston Manor,Hounslow,00AT,5659.35896934
940GZZLUBDS,Bounds Green,Haringey,00AP,2958.60814963
940GZZLUBWR,Bow Road,Tower Hamlets,00BG,2156.63302308
940GZZLUBTX,Brent Cross,Barnet,00AC,8673.72608022
940GZZLUBXN,Brixton,Lambeth,00AY,2725.27968907
940GZZLUBBB,Bromley-by-Bow,Tower Hamlets,00BG,2156.63302308
940GZZLUBKH,Buckhurst Hill,,,
940GZZLUBTK,Burnt Oak,Barnet,00AC,8673.72608022
940GZZLUCAR,Caledonian Road,Islington,00AU,1485.98163004
940GZZLUCTN,Camden Town,Camden,00AG,2179.59815943
940GZZLUCWR,Canada Water,Southwark,00BE,2989.72061282
940GZZLUCYF,Canary Wharf,Tower Hamlets,00BG,2156.63302308
940GZZLUCGT,Canning Town,Newham,00BB,3866.21685949
940GZZLUCST,Cannon Street,City of London,00AA,315.28129049
940GZZLUCPK,Canons Park,Harrow,00AQ,5046.88593709
940GZZLUCAL,Chalfont & Latimer,,,
940GZZLUCFM,Chalk Farm,Camden,00AG,2179.59815943
940GZZLUCHL,Chancery Lane,Camden,00AG,2179.59815943
940GZZLUCHX,Charing Cross,Westminster,00BK,2202.8684871
940GZZLUCSM,Chesham,,,
940GZZLUCWL,Chigwell,,,
940GZZLUCWP,Chiswick Park,Ealing,00AJ,5552.7806617
940GZZLUCYD,Chorleywood,,,
940GZZLUCPC,Clapham Common,Lambeth,00AY,2725.27968907
940GZZLUCPN,Clapham North,Lambeth,00AY,2725.27968907
940GZZLUCPS,Clapham South,Wandsworth,00BJ,3522.00323363
940GZZLUCKS,Cockfosters,Enfield,00AK,8220.0645035
940GZZLUCND,Colindale,Barnet,00AC,8673.72608022
940GZZLUCSD,Colliers Wood,Merton,00BA,3760.91963837
940GZZLUCGN,Covent Garden,Westminster,00BK,2202.8684871
940GZZLUCXY,Croxley,,,
940GZZLUDGE,Dagenham East,Barking & Dagenham,00AB,3777.89681285
940GZZLUDGY,Dagenham Heathway,Barking & Dagenham,00AB,3777.89681285
940GZZLUDBN,Debden,,,
940GZZLUDOH,Dollis Hill,Brent,00AE,4323.53779272
940GZZLUEBY,Ealing Broadway,Ealing,00AJ,5552.7806617
940GZZLUECM,Ealing Common,Ealing,00AJ,5552.7806617
940GZZLUECT,Earl's Court,Kensington & Chelsea,00AW,1238.96613042
940GZZLUEAN,East Acton,Hammersmith & Fulham,00AN,1716.10641086
940GZZLUEFY,East Finchley,Barnet,00AC,8673.72608022
940GZZLUEHM,East Ham,Newham,00BB,3866.21685949
940GZZLUEPY,East Putney,Wandsworth,00BJ,3522.00323363
940GZZLUEAE,Eastcote,Hillingdon,00AS,11569.95652639
940GZZLUEGW,Edgware,Barnet,00AC,8673.72608022
940GZZLUERB,Edgware Road (Bakerloo),Westminster,00BK,2202.8684871
940GZZLUERC,Edgware Road (Circle Line),Westminster,00BK,2202.8684871
940GZZLUEAC,Elephant & Castle,Southwark,00BE,2989.72061282
940GZZLUEPK,Elm Park,Havering,00AR,11446.80035788
940GZZLUEMB,Embankment,Westminster,00BK,2202.8684871
940GZZLUEPG,Epping,,,
940GZZLUEUS,Euston,Camden,00AG,2179.59815943
940GZZLUESQ,Euston Square,Camden,00AG,2179.59815943
940GZZLUFLP,Fairlop,Redbridge,00BC,5645.00826392
940GZZLUFCN,Farringdon,Islington,00AU,1485.98163004
940GZZLUFYC,Finchley Central,Barnet,00AC,8673.72608022
940GZZLUFYR,Finchley Road,Camden,00AG,2179.59815943
940GZZLUFPK,Finsbury Park,Islington,00AU,1485.98163004
940GZZLUFBY,Fulham Broadway,Hammersmith & Fulham,00AN,1716.10641086
940GZZLUGTH,Gants Hill,Redbridge,00BC,5645.00826392
940GZZLUGTR,Gloucester Road,Kensington & Chelsea,00AW,1238.96613042
940GZZLUGGN,Golders Green,Barnet,00AC,8673.72608022
940GZZLUGHK,Goldhawk Road,Hammersmith & Fulham,00AN,1716.10641086
940GZZLUGDG,Goodge Street,Camden,00AG,2179.59815943
940GZZLUGGH,Grange Hill,,,
940GZZLUGPS,Great Portland Street,Westminster,00BK,2202.8684871
940GZZLUGPK,Green Park,Westminster,00BK,2202.8684871
940GZZLUGFD,Greenford,Ealing,00AJ,5552.7806617
940GZZLUGBY,Gunnersbury,Hounslow,00AT,5659.35896934
940GZZLUHLT,Hainault,Redbridge,00BC,5645.00826392
940GZZLUHSD,Hammersmith (Dist&Picc Line),Hammersmith & Fulham,00AN,1716.10641086
940GZZLUHSC,Hammersmith (H&C Line),Hammersmith & Fulham,00AN,1716.10641086
940GZZLUHTD,Hampstead,Camden,00AG,2179.59815943
940GZZLUHGR,Hanger Lane,Ealing,00AJ,5552.7806617
940GZZLUHSN,Harlesden,Brent,00AE,4323.53779272
940GZZLUHAW,Harrow & Wealdstone,Harrow,00AQ,5046.88593709
940GZZLUHOH,Harrow-on-the-Hill,Harrow,00AQ,5046.88593709
940GZZLUHNX,Hatton Cross,Hillingdon,00AS,11569.95652639
940GZZLUHR4,Heathrow Terminal 4,Hillingdon,00AS,11569.95652639
940GZZLUHR5,Heathrow Terminal 5,Hillingdon,00AS,11569.95652639
940GZZLUHRC,Heathrow Terminals 2 & 3,Hillingdon,00AS,11569.95652639
940GZZLUHCL,Hendon Central,Barnet,00AC,8673.72608022
940GZZLUHBT,High Barnet,Barnet,00AC,8673.72608022
940GZZLUHSK,High Street Kensington,Kensington & Chelsea,00AW,1238.96613042
940GZZLUHAI,Highbury & Islington,Islington,00AU,1485.98163004
940GZZLUHGT,Highgate,Haringey,00AP,2958.60814963
940GZZLUHGD,Hillingdon,Hillingdon,00AS,11569.95652639
940GZZLUHBN,Holborn,Camden,00AG,2179.59815943
940GZZLUHPK,Holland Park,Kensington & Chelsea,00AW,1238.96613042
940GZZLUHWY,Holloway Road,Islington,00AU,1485.98163004
940GZZLUHCH,Hornchurch,Havering,00AR,11446.80035788
940GZZLUHWC,Hounslow Central,Hounslow,00AT,5659.35896934
940GZZLUHWE,Hounslow East,Hounslow,00AT,5659.35896934
940GZZLUHWT,Hounslow West,Hounslow,00AT,5659.35896934
940GZZLUHPC,Hyde Park Corner,Westminster,00BK,2202.8684871
940GZZLUICK,Ickenham,Hillingdon,00AS,11569.95652639
940GZZLUKNG,Kennington,Lambeth,00AY,2725.27968907
940GZZLUKSL,Kensal Green,Brent,00AE,4323.53779272
940GZZLUKOY,Kensington (Olympia),Hammersmith & Fulham,00AN,1716.10641086
940GZZLUKSH,Kentish Town,Camden,00AG,2179.59815943
940GZZLUKEN,Kenton,Brent,00AE,4323.53779272
940GZZLUKWG,Kew Gardens,Richmond upon Thames,00BD,5876.73599415
940GZZLUKBN,Kilburn,Brent,00AE,4323.53779272
940GZZLUKPK,Kilburn Park,Brent,00AE,4323.53779272
940GZZLUKSX,King's Cross St. Pancras,Camden,00AG,2179.59815943
940GZZLUKBY,Kingsbury,Brent,00AE,4323.53779272
940GZZLUKNB,Knightsbridge,Kensington & Chelsea,00AW,1238.96613042
940GZZLULAD,Ladbroke Grove,Kensington & Chelsea,00AW,1238.96613042
940GZZLULBN,Lambeth North,Lambeth,00AY,2725.27968907
940GZZLULGT,Lancaster Gate,Westminster,00BK,2202.8684871
940GZZLULRD,Latimer Road,Kensington & Chelsea,00AW,1238.96613042
940GZZLULSQ,Leicester Square,Westminster,00BK,2202.8684871
940GZZLULYN,Leyton,Waltham Forest,00BH,3881.50828556
940GZZLULYS,Leytonstone,Waltham Forest,00BH,3881.50828556
940GZZLULVT,Liverpool Street,City of London,00AA,315.28129049
940GZZLULNB,London Bridge,Southwark,00BE,2989.72061282
940GZZLULGN,Loughton,,,
940GZZLUMVL,Maida Vale,Westminster,00BK,2202.8684871
940GZZLUMRH,Manor House,Hackney,00AM,1906.45200287
940GZZLUMSH,Mansion House,City of London,00AA,315.28129049
940GZZLUMBA,Marble Arch,Westminster,00BK,2202.8684871
940GZZLUMYB,Marylebone,Westminster,00BK,2202.8684871
940GZZLUMED,Mile End,Tower Hamlets,00BG,2156.63302308
940GZZLUMHL,Mill Hill East,Barnet,00AC,8673.72608022
940GZZLUMMT,Monument,City of London,00AA,315.28129049
940GZZLUMPK,Moor Park,,,
940GZZLUMGT,Moorgate,City of London,00AA,315.28129049
940GZZLUMDN,Morden,Merton,00BA,3760.91963837
940GZZLUMTC,Mornington Crescent,Camden,00AG,2179.59815943
940GZZLUNDN,Neasden,Brent,00AE,4323.53779272
940GZZLUNBP,Newbury Park,Redbridge,00BC,5645.00826392
940GZZNEUGST,Nine Elms,Lambeth,00AY,2725.27968907
940GZZLUNAN,North Acton,Ealing,00AJ,5552.7806617
940GZZLUNEN,North Ealing,Ealing,00AJ,5552.7806617
940GZZLUNGW,North Greenwich,Greenwich,00AL,5037.98252167
940GZZLUNHA,North Harrow,Harrow,00AQ,5046.88593709
940GZZLUNWY,North Wembley,Brent,00AE,4323.53779272
940GZZLUNFD,Northfields,Ealing,00AJ,5552.7806617
940GZZLUNHT,Northolt,Ealing,00AJ,5552.7806617
940GZZLUNKP,Northwick Park,Brent,00AE,4323.53779272
940GZZLUNOW,Northwood,Hillingdon,00AS,11569.95652639
940GZZLUNWH,Northwood Hills,Hillingdon,00AS,11569.95652639
940GZZLUNHG,Notting Hill Gate,Kensington & Chelsea,00AW,1238.96613042
940GZZLUOAK,Oakwood,Enfield,00AK,8220.0645035
940GZZLUODS,Old Street,Islington,00AU,1485.98163004
940GZZLUOSY,Osterley,Hounslow,00AT,5659.35896934
940GZZLUOVL,Oval,Lambeth,00AY,2725.27968907
940GZZLUOXC,Oxford Circus,Westminster,00BK,2202.8684871
940GZZLUPAC,Paddington,Westminster,00BK,2202.8684871
940GZZLUPAH,Paddington (H&C Line)-Underground,Westminster,00BK,2202.8684871
940GZZLUPKR,Park Royal,Ealing,00AJ,5552.7806617
940GZZLUPSG,Parsons Green,Hammersmith & Fulham,00AN,1716.10641086
940GZZLUPVL,Perivale,Ealing,00AJ,5552.7806617
940GZZLUPCC,Piccadilly Circus,Westminster,00BK,2202.8684871
940GZZLUPCO,Pimlico,Westminster,00BK,2202.8684871
940GZZLUPNR,Pinner,Harrow,00AQ,5046.88593709
940GZZLUPLW,Plaistow,Newham,00BB,3866.21685949
940GZZLUPRD,Preston Road,Brent,00AE,4323.53779272
940GZZLUPYB,Putney Bridge,Hammersmith & Fulham,00AN,1716.10641086
940GZZLUQPS,Queen's Park,Brent,00AE,4323.53779272
940GZZLUQBY,Queensbury,Brent,00AE,4323.53779272
940GZZLUQWY,Queensway,Westminster,00BK,2202.8684871
940GZZLURVP,Ravenscourt Park,Hammersmith & Fulham,00AN,1716.10641086
940GZZLURYL,Rayners Lane,Harrow,00AQ,5046.88593709
940GZZLURBG,Redbridge,Redbridge,00BC,5645.00826392
940GZZLURGP,Regent's Park,Westminster,00BK,2202.8684871
940GZZLURMD,Richmond,Richmond upon Thames,00BD,5876.73599415
940GZZLURKW,Rickmansworth,,,
940GZZLURVY,Roding Valley,,,
940GZZLURYO,Royal Oak,Westminster,00BK,2202.8684871
940GZZLURSP,Ruislip,Hillingdon,00AS,11569.95652639
940GZZLURSG,Ruislip Gardens,Hillingdon,00AS,11569.95652639
940GZZLURSM,Ruislip Manor,Hillingdon,00AS,11569.95652639
940GZZLURSQ,Russell Square,Camden,00AG,2179.59815943
940GZZLUSVS,Seven Sisters,Haringey,00AP,2958.60814963
940GZZLUSBC,Shepherd's Bush (Central),Hammersmith & Fulham,00AN,1716.10641086
940GZZLUSBM,Shepherd's Bush Market,Hammersmith & Fulham,00AN,1716.10641086
940GZZLUSSQ,Sloane Square,Kensington & Chelsea,00AW,1238.96613042
940GZZLUSNB,Snaresbrook,Redbridge,00BC,5645.00826392
940GZZLUSEA,South Ealing,Ealing,00AJ,5552.7806617
940GZZLUSHH,South Harrow,Harrow,00AQ,5046.88593709
940GZZLUSKS,South Kensington,Kensington & Chelsea,00AW,1238.96613042
940GZZLUSKT,South Kenton,Brent,00AE,4323.53779272
940GZZLUSRP,South Ruislip,Hillingdon,00AS,11569.95652639
940GZZLUSWN,South Wimbledon,Merton,00BA,3760.91963837
940GZZLUSWF,South Woodford,Redbridge,00BC,5645.00826392
940GZZLUSFS,Southfields,Wandsworth,00BJ,3522.00323363
940GZZLUSGT,Southgate,Enfield,00AK,8220.0645035
940GZZLUSWK,Southwark,Southwark,00BE,2989.72061282
940GZZLUSJP,St. James's Park,Westminster,00BK,2202.8684871
940GZZLUSJW,St. John's Wood,Westminster,00BK,2202.8684871
940GZZLUSPU,St. Paul's,City of London,00AA,315.28129049
940GZZLUSFB,Stamford Brook,Hounslow,00AT,5659.35896934
940GZZLUSTM,Stanmore,Harrow,00AQ,5046.88593709
940GZZLUSGN,Stepney Green,Tower Hamlets,00BG,2156.63302308
940GZZLUSKW,Stockwell,Lambeth,00AY,2725.27968907
940GZZLUSGP,Stonebridge Park,Brent,00AE,4323.53779272
940GZZLUSTD,Stratford,Newham,00BB,3866.21685949
940GZZLUSUH,Sudbury Hill,Harrow,00AQ,5046.88593709
940GZZLUSUT,Sudbury Town,Brent,00AE,4323.53779272
940GZZLUSWC,Swiss Cottage,Camden,00AG,2179.59815943
940GZZLUTMP,Temple,Westminster,00BK,2202.8684871
940GZZLUTHB,Theydon Bois,,,
940GZZLUTBC,Tooting Bec,Wandsworth,00BJ,3522.00323363
940GZZLUTBY,Tooting Broadway,Wandsworth,00BJ,3522.00323363
940GZZLUTCR,Tottenham Court Road,Westminster,00BK,2202.8684871
940GZZLUTMH,Tottenham Hale,Haringey,00AP,2958.60814963
940GZZLUTAW,Totteridge & Whetstone,Barnet,00AC,8673.72608022
940GZZLUTWH,Tower Hill,Tower Hamlets,00BG,2156.63302308
940GZZLUTFP,Tufnell Park,Camden,00AG,2179.59815943
940GZZLUTNG,Turnham Green,Hounslow,00AT,5659.35896934
940GZZLUTPN,Turnpike Lane,Haringey,00AP,2958.60814963
940GZZLUUPM,Upminster,Havering,00AR,11446.80035788
940GZZLUUPB,Upminster Bridge,Havering,00AR,11446.80035788
940GZZLUUPY,Upney,Barking & Dagenham,00AB,3777.89681285
940GZZLUUPK,Upton Park,Newham,00BB,3866.21685949
940GZZLUUXB,Uxbridge,Hillingdon,00AS,11569.95652639
940GZZLUVXL,Vauxhall,Lambeth,00AY,2725.27968907
940GZZLUVIC,Victoria,Westminster,00BK,2202.8684871
940GZZLUWWL,Walthamstow Central,Waltham Forest,00BH,3881.50828556
940GZZLUWSD,Wanstead,Redbridge,00BC,5645.00826392
940GZZLUWRR,Warren Street,Camden,00AG,2179.59815943
940GZZLUWKA,Warwick Avenue,Westminster,00BK,2202.8684871
940GZZLUWLO,Waterloo,Lambeth,00AY,2725.27968907
940GZZLUWAF,Watford,,,
940GZZLUWYC,Wembley Central,Brent,00AE,4323.53779272
940GZZLUWYP,Wembley Park,Brent,00AE,4323.53779272
940GZZLUWTA,West Acton,Ealing,00AJ,5552.7806617
940GZZLUWBN,West Brompton,Kensington & Chelsea,00AW,1238.96613042
940GZZLUWFN,West Finchley,Barnet,00AC,8673.72608022
940GZZLUWHM,West Ham,Newham,00BB,3866.21685949
940GZZLUWHP,West Hampstead,Camden,00AG,2179.59815943
940GZZLUWHW,West Harrow,Harrow,00AQ,5046.88593709
940GZZLUWKN,West Kensington,Hammersmith & Fulham,00AN,1716.10641086
940GZZLUWRP,West Ruislip,Hillingdon,00AS,11569.95652639
940GZZLUWSP,Westbourne Park,Kensington & Chelsea,00AW,1238.96613042
940GZZLUWSM,Westminster,Westminster,00BK,2202.8684871
940GZZLUWCY,White City,Hammersmith & Fulham,00AN,1716.10641086
940GZZLUWPL,Whitechapel,Tower Hamlets,00BG,2156.63302308
940GZZLUWIG,Willesden Green,Brent,00AE,4323.53779272
940GZZLUWJN,Willesden Junction,Brent,00AE,4323.53779272
940GZZLUWIM,Wimbledon,Merton,00BA,3760.91963837
940GZZLUWIP,Wimbledon Park,Merton,00BA,3760.91963837
940GZZLUWOG,Wood Green,Haringey,00AP,2958.60814963
940GZZLUWLA,Wood Lane,Hammersmith & Fulham,00AN,1716.10641086
940GZZLUWOF,Woodford,Redbridge,00BC,5645.00826392
940GZZLUWOP,Woodside Park,Barnet,00AC,8673.72608022
